title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc
5 Flights Up,2014,insufficient sample,7.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Inside Out,2015,Missing,Missing,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
The World Made Straight,2015,Missing,Missing,Missing,Missing,Missing,Missing
L'amour au temps de la guerre civile,2014,Missing,Missing,Missing,Missing,Missing,Missing
The Wolfpack,2015,insufficient sample,4.0,Missing,Missing,Missing,Missing
Trevor Noah: African American,2013,insufficient sample,2.0,Missing,Missing,Missing,Missing
A BIG Love Story,2012,Missing,Missing,insufficient sample,3.0,Missing,Missing
Tanu Weds Manu,2011,Missing,Missing,insufficient sample,4.0,Missing,Missing
Documented,2014,Missing,Missing,Missing,Missing,Missing,Missing
The Sisterhood of Night,2015,Missing,Missing,Missing,Missing,Missing,Missing
Soaked in Bleach,2015,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing
Love & Mercy,2015,0.25,12.0,insufficient sample,10.0,Missing,Missing
Technotise - Edit i ja,2009,Missing,Missing,Missing,Missing,Missing,Missing
Amusement,2008,0.18181818181818182,11.0,Missing,Missing,Missing,Missing
The Better Angels,2014,insufficient sample,4.0,insufficient sample,4.0,Missing,Missing
Leonie,2010,insufficient sample,1.0,insufficient sample,9.0,Missing,Missing
A Year in Burgundy,2013,insufficient sample,5.0,Missing,Missing,Missing,Missing
Paul Goodman Changed My Life,2011,Missing,Missing,Missing,Missing,Missing,Missing
Throw Down Your Heart,2009,Missing,Missing,Missing,Missing,Missing,Missing
The Garden,2008,Missing,Missing,insufficient sample,2.0,Missing,Missing
All My Friends Are Funeral Singers,2010,Missing,Missing,insufficient sample,2.0,Missing,Missing
Spork,2010,insufficient sample,2.0,insufficient sample,10.0,Missing,Missing
è­¦å¯Ÿæ•…äº‹2013,2013,Missing,Missing,insufficient sample,5.0,Missing,Missing
Dirt! The Movie,2009,insufficient sample,2.0,insufficient sample,1.0,Missing,Missing
Hjemve,2007,insufficient sample,2.0,0.3076923076923077,13.0,Missing,Missing
Remote Area Medical,2013,insufficient sample,1.0,Missing,Missing,Missing,Missing
The Listening Project,2008,Missing,Missing,Missing,Missing,Missing,Missing
New Muslim Cool,2009,Missing,Missing,Missing,Missing,Missing,Missing
Ada Apa Dengan Cinta?,2002,Missing,Missing,Missing,Missing,Missing,Missing
Without You I'm Nothing,1990,insufficient sample,2.0,Missing,Missing,Missing,Missing
The American Ruling Class,2005,Missing,Missing,Missing,Missing,Missing,Missing
The Topp Twins: Untouchable Girls,2009,Missing,Missing,insufficient sample,1.0,Missing,Missing
Strigoi,2009,Missing,Missing,Missing,Missing,Missing,Missing
Eames: The Architect & The Painter,2011,insufficient sample,1.0,Missing,Missing,Missing,Missing
Herbie Hancock: Possibilities,2006,Missing,Missing,insufficient sample,6.0,Missing,Missing
La luz prodigiosa,2003,Missing,Missing,insufficient sample,2.0,Missing,Missing
De vliegende Hollander,1995,Missing,Missing,Missing,Missing,Missing,Missing
In nome del popolo sovrano,1990,Missing,Missing,0.09090909090909091,11.0,Missing,Missing
Circo,2011,Missing,Missing,Missing,Missing,Missing,Missing
Edie & Thea: A Very Long Engagement,2009,Missing,Missing,Missing,Missing,Missing,Missing
Jess + Moss,2011,Missing,Missing,Missing,Missing,Missing,Missing
ÐœÐµÑ‚Ñ€Ð¾,2013,Missing,Missing,insufficient sample,4.0,Missing,Missing
The Drunk,2014,Missing,Missing,Missing,Missing,Missing,Missing
Mercenaries,2014,0.13333333333333333,15.0,0.5,12.0,Missing,Missing
The Hunger Games: Mockingjay - Part 2,2015,Missing,Missing,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
