title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc
BASEketball,1998,insufficient sample,10.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Full Tilt Boogie,1997,Missing,Missing,insufficient sample,6.0,Missing,Missing
The Governess,1998,Missing,Missing,insufficient sample,7.0,Missing,Missing
Le septiÃ¨me ciel,1997,insufficient sample,4.0,insufficient sample,4.0,Missing,Missing
And the Band Played On,1993,insufficient sample,7.0,0.25,28.0,Missing,Missing
The Mighty Ducks,1992,insufficient sample,8.0,0.16666666666666666,12.0,1,"There are two or more women in this movie, but they don't talk to each other"
The Muppet Christmas Carol,1992,insufficient sample,9.0,insufficient sample,5.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Newsies,1992,Missing,Missing,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
The Rescuers Down Under,1990,insufficient sample,9.0,0.2,15.0,1,"There are two or more women in this movie, but they don't talk to each other"
The Return of Jafar,1994,0.07142857142857142,14.0,0.18181818181818182,11.0,0,Fewer than two women in this movie
The Rocketeer,1991,insufficient sample,9.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Squanto: A Warrior's Tale,1994,Missing,Missing,insufficient sample,6.0,Missing,Missing
Tall Tale,1995,insufficient sample,10.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Swing Kids,1993,insufficient sample,8.0,insufficient sample,8.0,1,"There are two or more women in this movie, but they don't talk to each other"
Halloween: H20,1998,insufficient sample,6.0,Missing,Missing,Missing,Missing
L.A. Story,1991,0.1875,16.0,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Grand Canyon,1991,0.16666666666666666,18.0,insufficient sample,9.0,Missing,Missing
Graveyard Shift,1990,insufficient sample,2.0,Missing,Missing,Missing,Missing
Needful Things,1993,0.5882352941176471,17.0,Missing,Missing,Missing,Missing
The Addams Family,1991,0.25,12.0,0.35714285714285715,14.0,3,There are two or more women in this movie and they talk to each other about something other than a man
EverAfter,1998,0.4117647058823529,17.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Snake Eyes,1998,0.043478260869565216,23.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
"First Love, Last Rites",1998,insufficient sample,1.0,Missing,Missing,Missing,Missing
Safe Men,1998,insufficient sample,9.0,0.14285714285714285,14.0,0,Fewer than two women in this movie
Die SalzmÃ¤nner von Tibet,1997,Missing,Missing,Missing,Missing,Missing,Missing
An American Tail: Fievel Goes West,1991,Missing,Missing,insufficient sample,7.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Air Bud: Golden Receiver,1998,insufficient sample,2.0,insufficient sample,5.0,Missing,Missing
The Avengers,1998,insufficient sample,8.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
How Stella Got Her Groove Back,1998,insufficient sample,5.0,Missing,Missing,Missing,Missing
Slums of Beverly Hills,1998,insufficient sample,3.0,0.5454545454545454,11.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Il testimone dello sposo,1997,insufficient sample,4.0,Missing,Missing,Missing,Missing
La femme de chambre du Titanic,1997,insufficient sample,5.0,insufficient sample,4.0,Missing,Missing
"Henry II, Portrait of a Serial Killer",1996,Missing,Missing,insufficient sample,2.0,Missing,Missing
The Neverending Story II: The Next Chapter,1990,insufficient sample,8.0,insufficient sample,7.0,Missing,Missing
Your Friends & Neighbors,1998,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing
Return to Paradise,1998,insufficient sample,7.0,Missing,Missing,Missing,Missing
Blade,1998,Missing,Missing,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Dance with Me,1998,insufficient sample,1.0,insufficient sample,6.0,Missing,Missing
Dead Man on Campus,1998,insufficient sample,4.0,0.35714285714285715,14.0,Missing,Missing
Wrongfully Accused,1998,insufficient sample,7.0,insufficient sample,4.0,Missing,Missing
Next Stop Wonderland,1998,insufficient sample,2.0,insufficient sample,5.0,Missing,Missing
Strike!,1998,insufficient sample,2.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
DÃ©jÃ  Vu,1998,insufficient sample,2.0,Missing,Missing,Missing,Missing
54,1998,0.2222222222222222,27.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
I Married a Strange Person!,1998,Missing,Missing,Missing,Missing,Missing,Missing
Why Do Fools Fall In Love,1998,insufficient sample,9.0,Missing,Missing,Missing,Missing
Keep the Aspidistra Flying,1997,insufficient sample,3.0,insufficient sample,4.0,Missing,Missing
Regarde la Mer,1997,insufficient sample,5.0,insufficient sample,1.0,Missing,Missing
Dirty Work,1998,insufficient sample,3.0,Missing,Missing,Missing,Missing
Knock Off,1998,insufficient sample,6.0,insufficient sample,5.0,Missing,Missing
Firelight,1997,insufficient sample,2.0,insufficient sample,5.0,Missing,Missing
Modulations,1998,Missing,Missing,insufficient sample,2.0,Missing,Missing
Phoenix,1998,insufficient sample,2.0,0.3157894736842105,19.0,Missing,Missing
The Farmer's Wife,2012,insufficient sample,4.0,Missing,Missing,Missing,Missing
Rounders,1998,0.18181818181818182,11.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Cube,1997,0.2857142857142857,14.0,insufficient sample,7.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Digging to China,1997,insufficient sample,3.0,insufficient sample,5.0,Missing,Missing
Let's Talk About Sex,1998,Missing,Missing,insufficient sample,1.0,Missing,Missing
One Man's Hero,1999,insufficient sample,7.0,insufficient sample,10.0,Missing,Missing
Simon Birch,1998,Missing,Missing,insufficient sample,8.0,Missing,Missing
Without Limits,1998,insufficient sample,2.0,Missing,Missing,Missing,Missing
My Blue Heaven,1990,Missing,Missing,Missing,Missing,Missing,Missing
Men Don't Leave,1990,insufficient sample,3.0,Missing,Missing,Missing,Missing
The Cabinet of Dr. Ramirez,1991,Missing,Missing,insufficient sample,3.0,Missing,Missing
Hero,1992,insufficient sample,6.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Toys,1992,insufficient sample,8.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Nothing but Trouble,1991,insufficient sample,7.0,Missing,Missing,Missing,Missing
The Butcher's Wife,1991,insufficient sample,5.0,insufficient sample,8.0,Missing,Missing
Mortal Thoughts,1991,insufficient sample,1.0,Missing,Missing,Missing,Missing
A Few Good Men,1992,0.20588235294117646,34.0,0.06666666666666667,15.0,1,"There are two or more women in this movie, but they don't talk to each other"
Indecent Proposal,1993,0.25,12.0,Missing,Missing,0,Fewer than two women in this movie
Permanent Midnight,1998,insufficient sample,10.0,Missing,Missing,Missing,Missing
One True Thing,1998,Missing,Missing,insufficient sample,6.0,Missing,Missing
Rush Hour,1998,0.125,16.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Lilian's Story,1996,insufficient sample,5.0,Missing,Missing,Missing,Missing
Six-String Samurai,1998,insufficient sample,1.0,insufficient sample,1.0,Missing,Missing
A Soldier's Daughter Never Cries,1998,insufficient sample,4.0,Missing,Missing,Missing,Missing
Somewhere in the City,1998,Missing,Missing,insufficient sample,9.0,Missing,Missing
Ronin,1998,0.375,16.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Urban Legend,1998,Missing,Missing,0.42105263157894735,19.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Clay Pigeons,1998,insufficient sample,1.0,insufficient sample,7.0,Missing,Missing
Monument Ave.,1998,0.2727272727272727,11.0,Missing,Missing,Missing,Missing
Pecker,1998,0.16666666666666666,12.0,insufficient sample,9.0,3,There are two or more women in this movie and they talk to each other about something other than a man
The Sheltering Sky,1990,0.23076923076923078,13.0,insufficient sample,9.0,Missing,Missing
Bandit Queen,1994,insufficient sample,1.0,insufficient sample,3.0,Missing,Missing
The Player,1992,0.18181818181818182,11.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Edward Scissorhands,1990,0.5,12.0,0.34782608695652173,23.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Overnight Delivery,1998,insufficient sample,2.0,insufficient sample,7.0,Missing,Missing
Shadrach,1998,insufficient sample,5.0,insufficient sample,4.0,Missing,Missing
Antz,1998,0.20833333333333334,24.0,0.23529411764705882,17.0,3,There are two or more women in this movie and they talk to each other about something other than a man
The Impostors,1998,insufficient sample,2.0,Missing,Missing,Missing,Missing
A Night at the Roxbury,1998,insufficient sample,8.0,0.3333333333333333,15.0,Missing,Missing
What Dreams May Come,1998,0.3333333333333333,12.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Strangeland,1998,insufficient sample,2.0,0.5,12.0,Missing,Missing
My Cousin Vinny,1992,insufficient sample,7.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Love Is the Devil: Study for a Portrait of Francis Bacon,1998,insufficient sample,7.0,insufficient sample,7.0,Missing,Missing
Slam,1998,Missing,Missing,insufficient sample,4.0,Missing,Missing
Holy Man,1998,insufficient sample,5.0,insufficient sample,5.0,Missing,Missing
One Tough Cop,1998,insufficient sample,8.0,Missing,Missing,Missing,Missing
Die Siebtelbauern,1998,insufficient sample,4.0,insufficient sample,3.0,Missing,Missing
The Mighty,1998,insufficient sample,4.0,Missing,Missing,Missing,Missing
Beloved,1998,insufficient sample,7.0,insufficient sample,7.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Bride of Chucky,1998,0.3333333333333333,12.0,0.3333333333333333,12.0,1,"There are two or more women in this movie, but they don't talk to each other"
Practical Magic,1998,0.4230769230769231,26.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
The Alarmist,1998,0.21428571428571427,14.0,insufficient sample,10.0,Missing,Missing
Happiness,1998,insufficient sample,5.0,0.5,14.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Reach The Rock,1998,0.18181818181818182,11.0,insufficient sample,7.0,Missing,Missing
Apt Pupil,1998,0.2222222222222222,18.0,0.18181818181818182,11.0,1,"There are two or more women in this movie, but they don't talk to each other"
Pleasantville,1998,0.375,16.0,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Soldier,1998,Missing,Missing,0.14285714285714285,14.0,Missing,Missing
The Cruise,1998,insufficient sample,4.0,Missing,Missing,Missing,Missing
La vita Ã¨ bella,1997,0.21428571428571427,14.0,Missing,Missing,Missing,Missing
Orgazmo,1997,insufficient sample,5.0,0.38461538461538464,13.0,1,"There are two or more women in this movie, but they don't talk to each other"
Shattered Image,1998,insufficient sample,3.0,insufficient sample,5.0,Missing,Missing
Tales from the Darkside: The Movie,1990,0.0,13.0,Missing,Missing,Missing,Missing
Vampires,1998,insufficient sample,8.0,insufficient sample,10.0,Missing,Missing
American History X,1998,Missing,Missing,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
Hands on a Hard Body: The Documentary,1997,Missing,Missing,Missing,Missing,Missing,Missing
Living Out Loud,1998,insufficient sample,10.0,insufficient sample,8.0,Missing,Missing
Belly,1998,Missing,Missing,Missing,Missing,Missing,Missing
Gods and Monsters,1998,0.09090909090909091,11.0,Missing,Missing,Missing,Missing
The Siege,1998,Missing,Missing,Missing,Missing,Missing,Missing
The Waterboy,1998,insufficient sample,7.0,0.15384615384615385,13.0,2,"There are two or more women in this movie, but they only talk to each other about a man"
Elizabeth,1998,0.3333333333333333,15.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Velvet Goldmine,1998,0.16666666666666666,12.0,insufficient sample,9.0,2,"There are two or more women in this movie, but they only talk to each other about a man"
I Still Know What You Did Last Summer,1998,Missing,Missing,0.2727272727272727,11.0,3,There are two or more women in this movie and they talk to each other about something other than a man
I'll Be Home for Christmas,1998,insufficient sample,4.0,Missing,Missing,Missing,Missing
Meet Joe Black,1998,0.22580645161290322,31.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Dancing at Lughnasa,1998,Missing,Missing,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Hard Core Logo,1996,insufficient sample,1.0,insufficient sample,3.0,Missing,Missing
The Naked Man,1998,insufficient sample,2.0,Missing,Missing,Missing,Missing
Heart Condition,1990,insufficient sample,10.0,Missing,Missing,Missing,Missing
Enemy of the State,1998,0.13333333333333333,15.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
The Rugrats Movie,1998,insufficient sample,3.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
A Bug's Life,1998,0.14285714285714285,14.0,0.38461538461538464,13.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Celebrity,1998,insufficient sample,6.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Central do Brasil,1998,insufficient sample,9.0,Missing,Missing,Missing,Missing
Savior,1998,insufficient sample,7.0,insufficient sample,5.0,Missing,Missing
Waking Ned,1998,insufficient sample,2.0,Missing,Missing,Missing,Missing
Festen,1998,insufficient sample,4.0,insufficient sample,8.0,Missing,Missing
Babe: Pig in the City,1998,0.18181818181818182,11.0,0.3157894736842105,19.0,Missing,Missing
Home Fries,1998,0.3333333333333333,12.0,Missing,Missing,Missing,Missing
Ringmaster,1998,insufficient sample,2.0,insufficient sample,8.0,Missing,Missing
Very Bad Things,1998,0.3333333333333333,15.0,0.13333333333333333,15.0,Missing,Missing
Hamam,1997,Missing,Missing,Missing,Missing,Missing,Missing
Psycho,1998,insufficient sample,8.0,Missing,Missing,Missing,Missing
Little Voice,1998,0.23076923076923078,13.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
A Simple Plan,1998,Missing,Missing,insufficient sample,8.0,Missing,Missing
Jack Frost,1998,insufficient sample,7.0,Missing,Missing,Missing,Missing
Star Trek: Insurrection,1998,0.11764705882352941,17.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
The Prince of Egypt,1998,0.21428571428571427,14.0,0.42105263157894735,19.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Rushmore,1998,insufficient sample,9.0,0.3076923076923077,13.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Shakespeare in Love,1998,0.26666666666666666,15.0,0.21428571428571427,14.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Rocky V,1990,0.0,15.0,Missing,Missing,Missing,Missing
You've Got Mail,1998,0.3333333333333333,21.0,0.5625,16.0,3,There are two or more women in this movie and they talk to each other about something other than a man
The General,1998,insufficient sample,5.0,insufficient sample,8.0,Missing,Missing
The Theory of Flight,1999,insufficient sample,2.0,insufficient sample,5.0,Missing,Missing
The Thin Red Line,1998,0.13333333333333333,15.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
The Faculty,1998,0.25,24.0,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Mighty Joe Young,1998,Missing,Missing,Missing,Missing,Missing,Missing
Patch Adams,1998,Missing,Missing,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Stepmom,1998,0.3,20.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
A Civil Action,1998,0.2727272727272727,11.0,0.10526315789473684,19.0,Missing,Missing
Down in the Delta,1998,insufficient sample,1.0,insufficient sample,6.0,Missing,Missing
Hurlyburly,1998,Missing,Missing,insufficient sample,7.0,1,"There are two or more women in this movie, but they don't talk to each other"
Tea with Mussolini,1999,insufficient sample,6.0,0.45454545454545453,11.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Wilde,1997,Missing,Missing,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Outside Ozona,1998,insufficient sample,5.0,0.4166666666666667,12.0,Missing,Missing
Affliction,1997,insufficient sample,10.0,0.3333333333333333,12.0,Missing,Missing
Another Day in Paradise,1998,insufficient sample,2.0,Missing,Missing,Missing,Missing
The Hi-Lo Country,1998,0.3333333333333333,12.0,Missing,Missing,Missing,Missing
Hilary and Jackie,1998,insufficient sample,6.0,insufficient sample,7.0,Missing,Missing
Playing by Heart,1998,0.25,16.0,0.4166666666666667,24.0,Missing,Missing
24 7: Twenty Four Seven,1997,insufficient sample,6.0,Missing,Missing,Missing,Missing
At First Sight,1999,0.23076923076923078,13.0,Missing,Missing,Missing,Missing
In Dreams,1999,0.23076923076923078,13.0,0.45454545454545453,11.0,Missing,Missing
Varsity Blues,1999,insufficient sample,1.0,Missing,Missing,Missing,Missing
Virus,1999,0.2,20.0,insufficient sample,10.0,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Gate II: Trespassers,1990,insufficient sample,7.0,Missing,Missing,Missing,Missing
Leatherface: Texas Chainsaw Massacre III,1990,0.0,11.0,Missing,Missing,Missing,Missing
Texas Chainsaw Massacre: The Next Generation,1994,0.0,11.0,Missing,Missing,Missing,Missing
Gloria,1999,insufficient sample,3.0,0.45454545454545453,11.0,Missing,Missing
Nettoyage Ã  sec,1997,insufficient sample,4.0,insufficient sample,5.0,Missing,Missing
My Name Is Joe,1998,Missing,Missing,insufficient sample,6.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Still Crazy,1998,insufficient sample,5.0,Missing,Missing,Missing,Missing
El dÃ­a de la bestia,1995,insufficient sample,5.0,0.25,16.0,Missing,Missing
Tinseltown,1997,Missing,Missing,Missing,Missing,Missing,Missing
She's All That,1999,insufficient sample,7.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
The 24 Hour Woman,1999,insufficient sample,3.0,Missing,Missing,Missing,Missing
"Blood, Guts, Bullets and Octane",1998,insufficient sample,6.0,insufficient sample,6.0,Missing,Missing
Spanish Fly,1998,Missing,Missing,Missing,Missing,Missing,Missing
Payback,1999,Missing,Missing,0.21428571428571427,14.0,1,"There are two or more women in this movie, but they don't talk to each other"
Simply Irresistible,1999,0.2727272727272727,11.0,Missing,Missing,Missing,Missing
20 Dates,1998,insufficient sample,3.0,insufficient sample,2.0,Missing,Missing
Comedian Harmonists,1997,insufficient sample,8.0,insufficient sample,9.0,Missing,Missing
The Last Days,1998,insufficient sample,2.0,Missing,Missing,Missing,Missing
Blast from the Past,1999,0.21428571428571427,14.0,0.36363636363636365,11.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Message in a Bottle,1999,insufficient sample,8.0,0.47368421052631576,19.0,1,"There are two or more women in this movie, but they don't talk to each other"
My Favorite Martian,1999,insufficient sample,6.0,Missing,Missing,Missing,Missing
"God Said, 'Ha!'",1998,insufficient sample,4.0,Missing,Missing,Missing,Missing
Jawbreaker,1999,insufficient sample,10.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
October Sky,1999,Missing,Missing,Missing,Missing,Missing,Missing
Office Space,1999,0.08333333333333333,12.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Ø³ÛŒØ¨,1998,Missing,Missing,Missing,Missing,Missing,Missing
200 Cigarettes,1999,insufficient sample,1.0,0.5454545454545454,11.0,3,There are two or more women in this movie and they talk to each other about something other than a man
8MM,1999,0.19230769230769232,26.0,0.38461538461538464,13.0,1,"There are two or more women in this movie, but they don't talk to each other"
The Other Sister,1999,Missing,Missing,0.5714285714285714,14.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Breakfast of Champions,1999,insufficient sample,6.0,Missing,Missing,Missing,Missing
The Breaks,1999,Missing,Missing,Missing,Missing,Missing,Missing
Eight Days a Week,1997,insufficient sample,6.0,Missing,Missing,Missing,Missing
Just the Ticket,1999,insufficient sample,8.0,Missing,Missing,Missing,Missing
Pet Sematary II,1992,insufficient sample,8.0,insufficient sample,6.0,Missing,Missing
Children of the Corn II: The Final Sacrifice,1993,0.2,15.0,insufficient sample,8.0,Missing,Missing
Children of the Corn III: Urban Harvest,1995,insufficient sample,10.0,Missing,Missing,Missing,Missing
The Dancemaker,1998,Missing,Missing,Missing,Missing,Missing,Missing
Analyze This,1999,0.16666666666666666,12.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
The Corruptor,1999,insufficient sample,5.0,insufficient sample,9.0,Missing,Missing
Cruel Intentions,1999,insufficient sample,8.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
"Lock, Stock and Two Smoking Barrels",1998,insufficient sample,8.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Six Ways to Sunday,1997,0.3076923076923077,13.0,Missing,Missing,Missing,Missing
L'Ã©cole de la chair,1998,insufficient sample,1.0,Missing,Missing,Missing,Missing
Relax... It's Just Sex,1998,Missing,Missing,Missing,Missing,Missing,Missing
The Deep End of the Ocean,1999,insufficient sample,5.0,0.42857142857142855,14.0,2,"There are two or more women in this movie, but they only talk to each other about a man"
Harvest,1999,Missing,Missing,insufficient sample,9.0,Missing,Missing
The Rage: Carrie 2,1999,Missing,Missing,Missing,Missing,Missing,Missing
Wing Commander,1999,0.13333333333333333,15.0,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
My Boyfriend's Back,1993,insufficient sample,2.0,insufficient sample,8.0,Missing,Missing
Baby Geniuses,1999,insufficient sample,2.0,insufficient sample,5.0,Missing,Missing
Telling You,1998,Missing,Missing,insufficient sample,9.0,Missing,Missing
Seul contre tous,1998,insufficient sample,4.0,Missing,Missing,Missing,Missing
Forces of Nature,1999,0.42857142857142855,14.0,0.3157894736842105,38.0,Missing,Missing
The King and I,1999,insufficient sample,5.0,Missing,Missing,Missing,Missing
Ravenous,1999,Missing,Missing,insufficient sample,10.0,1,"There are two or more women in this movie, but they don't talk to each other"
True Crime,1999,0.1875,16.0,0.4583333333333333,24.0,Missing,Missing
Bandits,1997,insufficient sample,5.0,insufficient sample,6.0,Missing,Missing
Dangerous Beauty,1998,insufficient sample,6.0,insufficient sample,5.0,Missing,Missing
The Empty Mirror,1996,Missing,Missing,Missing,Missing,Missing,Missing
Doug's 1st Movie,1999,insufficient sample,5.0,insufficient sample,3.0,Missing,Missing
Edtv,1999,insufficient sample,10.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
The Mod Squad,1999,insufficient sample,3.0,Missing,Missing,Missing,Missing
Among Giants,1998,insufficient sample,2.0,Missing,Missing,Missing,Missing
A Walk on the Moon,1999,0.15384615384615385,13.0,insufficient sample,9.0,3,There are two or more women in this movie and they talk to each other about something other than a man
The Matrix,1999,0.3939393939393939,33.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
10 Things I Hate About You,1999,Missing,Missing,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
"Tango, no me dejes nunca",1998,insufficient sample,4.0,insufficient sample,2.0,Missing,Missing
The Out-of-Towners,1999,insufficient sample,5.0,insufficient sample,10.0,Missing,Missing
La vie rÃªvÃ©e des anges,1998,insufficient sample,2.0,Missing,Missing,Missing,Missing
"Love, etc.",1996,Missing,Missing,insufficient sample,6.0,Missing,Missing
Metroland,1997,insufficient sample,2.0,insufficient sample,3.0,Missing,Missing
The Sticky Fingers of Time,1997,insufficient sample,2.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Following,1998,insufficient sample,9.0,Missing,Missing,0,Fewer than two women in this movie
Go,1999,insufficient sample,7.0,0.3125,16.0,Missing,Missing
Never Been Kissed,1999,insufficient sample,9.0,0.42857142857142855,21.0,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
å�Œé¾™ä¼š,1992,insufficient sample,4.0,0.2,15.0,Missing,Missing
Cookie's Fortune,1999,insufficient sample,6.0,Missing,Missing,Missing,Missing
Foolish,1999,insufficient sample,1.0,Missing,Missing,Missing,Missing
Los amantes del cÃ­rculo polar,1998,insufficient sample,5.0,insufficient sample,5.0,Missing,Missing
Goodbye Lover,1998,insufficient sample,1.0,insufficient sample,7.0,Missing,Missing
Life,1999,insufficient sample,10.0,Missing,Missing,Missing,Missing
Friends & Lovers,1999,insufficient sample,4.0,Missing,Missing,Missing,Missing
Hideous Kinky,1998,insufficient sample,5.0,insufficient sample,7.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Jeanne et le garÃ§on formidable,1998,Missing,Missing,insufficient sample,3.0,Missing,Missing
The Joyriders,1999,Missing,Missing,insufficient sample,5.0,Missing,Missing
Il mostro,1994,insufficient sample,2.0,insufficient sample,8.0,Missing,Missing
Abre los ojos,1997,insufficient sample,10.0,insufficient sample,6.0,Missing,Missing
Fotoamator,1998,insufficient sample,1.0,insufficient sample,2.0,Missing,Missing
SLC Punk,1998,Missing,Missing,Missing,Missing,Missing,Missing
Lost & Found,1999,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing
Pushing Tin,1999,insufficient sample,8.0,insufficient sample,5.0,Missing,Missing
Election,1999,0.25,12.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
eXistenZ,1999,0.3,20.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
A Little Bit of Soul,1998,Missing,Missing,Missing,Missing,Missing,Missing
NÃ´,1998,Missing,Missing,insufficient sample,2.0,Missing,Missing
Let It Come Down: The Life of Paul Bowles,1999,Missing,Missing,insufficient sample,2.0,Missing,Missing
Entrapment,1999,0.2903225806451613,31.0,Missing,Missing,Missing,Missing
Idle Hands,1999,insufficient sample,8.0,0.3157894736842105,19.0,Missing,Missing
Get Real,1998,insufficient sample,3.0,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
Heaven,1999,insufficient sample,2.0,insufficient sample,5.0,Missing,Missing
å�˜è„¸,1997,Missing,Missing,Missing,Missing,Missing,Missing
Three Seasons,1999,insufficient sample,3.0,insufficient sample,2.0,Missing,Missing
The Winslow Boy,1999,insufficient sample,8.0,insufficient sample,5.0,Missing,Missing
Dick Tracy,1990,insufficient sample,8.0,Missing,Missing,Missing,Missing
The Mummy,1999,0.17647058823529413,17.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
The Castle,1997,0.2727272727272727,11.0,0.3333333333333333,15.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Mascara,1999,Missing,Missing,Missing,Missing,Missing,Missing
This Is My Father,1999,insufficient sample,2.0,Missing,Missing,Missing,Missing
Tian yu,1998,insufficient sample,2.0,Missing,Missing,Missing,Missing
A Midsummer Night's Dream,1999,insufficient sample,6.0,0.23529411764705882,17.0,2,"There are two or more women in this movie, but they only talk to each other about a man"
Trippin',1999,insufficient sample,1.0,insufficient sample,5.0,Missing,Missing
ãƒ¯ãƒ³ãƒ€ãƒ•ãƒ«ãƒ©ã‚¤ãƒ•,1998,insufficient sample,4.0,Missing,Missing,Missing,Missing
é»‘ä¾ ,1996,insufficient sample,6.0,Missing,Missing,Missing,Missing
Edge of Seventeen,1998,Missing,Missing,insufficient sample,6.0,Missing,Missing
Endurance,1999,Missing,Missing,Missing,Missing,Missing,Missing
Star Wars: Episode I - The Phantom Menace,1999,insufficient sample,10.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
The Love Letter,1999,insufficient sample,2.0,0.6363636363636364,11.0,Missing,Missing
L'assedio,1998,insufficient sample,3.0,insufficient sample,3.0,Missing,Missing
Frogs for Snakes,1998,insufficient sample,5.0,Missing,Missing,Missing,Missing
Notting Hill,1999,insufficient sample,8.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
The Thirteenth Floor,1999,0.17647058823529413,17.0,Missing,Missing,Missing,Missing
ÎœÎ¹Î± Î±Î¹Ï‰Î½Î¹ÏŒÏ„Î·Ï„Î± ÎºÎ±Î¹ Î¼Î¹Î± Î¼Î­Ï�Î±,1998,insufficient sample,4.0,insufficient sample,2.0,Missing,Missing
The Loss of Sexual Innocence,1999,insufficient sample,6.0,Missing,Missing,Missing,Missing
