,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc,synopsis
5428,Parineeta,2005,insufficient sample,2.0,Missing,Missing,Missing,Missing,"They fall in love before they know its meaning, Lolita, orphaned at an early age & Shekhar, who reaches out & gives her the security she craves.They share joys & sorrows through childhood & adolescence,unknown to them the relationship of an unspoken right they hold over eachother metamorphs into an intense love, they don't even sense coming. It Takes and outsider for them to realize their love."
5430,Ladies in Lavender,2004,insufficient sample,5.0,insufficient sample,10.0,3,There are two or more women in this movie and they talk to each other about something other than a man,"Andrea, a gifted young Polish violinist from Krakow, is bound for America when he is swept overboard by a storm. When the Widdington sisters discover the handsome stranger on the beach below their house, they nurse him back to health. However, the presence of the musically talented young man disrupts the peaceful lives of Ursula and Janet and the community in which they live."
5431,It's All Gone Pete Tong,2004,insufficient sample,6.0,insufficient sample,8.0,Missing,Missing,"Its All Gone Pete Tong is a comedy following the tragic life of the legendary Frankie Wilde. The story takes us through Frankie's life from being one of the best DJs alive, through a subsequent battle with a hearing disorder, culminating in his mysterious disappearance from the scene."
5433,When Trumpets Fade,1998,0.16666666666666666,12.0,0.0,11.0,Missing,Missing,"In WWII Western Germany, Private David Manning reluctantly leaves behind a mortally wounded fellow soldier and searches for survivors from his platoon, only to learn from commanding officer Captain Pritchett that they have all been killed in action. Despite requesting a discharge on the grounds of mental disability, Manning is promoted to sergeant and assigned to lead a new platoon of young inductees."
5434,Voces inocentes,2004,insufficient sample,6.0,insufficient sample,6.0,Missing,Missing,"A young boy, in an effort to have a normal childhood in 1980's El Salvador, is caught up in a dramatic fight for his life as he desperately tries to avoid the war which is raging all around him"
5435,Dirty Filthy Love,2005,insufficient sample,2.0,insufficient sample,8.0,Missing,Missing,A man's life falls apart as a result of his affliction with Obsessive Compulsive Disorder and Tourette's Syndrome in this touching and funny tale.
5436,Eddie Izzard: Dress to Kill,1999,insufficient sample,1.0,Missing,Missing,Missing,Missing,"Executive transvestite Eddie Izzard takes his show to San Francisco to give a brief history of pagan and Christian religions, the building of Stonehenge, the birth of the Church of England and of Western empires, and the need for a European dream."
5437,Batman Begins,2005,Missing,Missing,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other","Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman."
5438,Aragami,2003,Missing,Missing,insufficient sample,3.0,Missing,Missing,"Two seriously wounded samurai find refuge from a storm at an isolated temple, the home of a swordsman and a mysterious young woman.  One samurai awakes to find that not only has his comrade died, but that his wounds have miraculously healed. He discovers that he has been given the power of immortality by the swordsman, a man once known as the legendary Miyamoto Musashi, who now lives an endless existence as Aragami, a ""god of battle""."
5440,Rois et reine,2004,insufficient sample,3.0,insufficient sample,6.0,Missing,Missing,"Nora Cotterelle, a woman in her 30s is caring for her ill father, Louis Jenssens. While Nora tries to present a facade that all is well with her life, she is twice divorced and has a son, Elias, whose father is dead. Nora's present relationship is not going well, and she is soon to marry a businessman, while Elias is becoming increasingly withdrawn. A parallel storyline follows her former lover and second husband, Ismaël Vuillard, a musician, with whom she had lived for seven years. He is given to strange behaviour, and as a result he has been committed to a mental hospital, from which he is planning to escape. Nora learns that her father's digestive problems are actually cancer, and facing her father's death, Nora desperately seeks out Ismaël to ask that he reconnect with Elias, but he has mixed feelings about adopting her son. Moreover, he has met Arielle, another patient."
